player_id,age,obp,slg,walk_pct,strikeout_pct,exit_velocity,defensive_runs,projected_salary_m,future_war,high_value
P0130,25,0.283,0.517,0.093,0.288,89.6,8.7,3.5,4.38,1
P0131,22,0.335,0.336,0.041,0.216,91.5,-2.9,3.15,3.92,0
P0132,29,0.368,0.308,0.08,0.15,86.9,5.7,3.64,2.85,0
P0133,25,0.294,0.316,0.077,0.211,88.9,-1.3,2.37,-0.21,0
P0134,26,0.285,0.395,0.105,0.225,94.3,5.1,2.36,3.9,0
P0135,25,0.335,0.498,0.091,0.241,92.5,-7.7,3.78,4.78,1
P0136,23,0.282,0.305,0.043,0.244,93.2,0.7,1.08,3.55,0
P0137,22,0.313,0.496,0.085,0.124,93.7,-2.7,4.69,4.7,1
P0138,20,0.286,0.382,0.111,0.249,91.9,-1.4,0.94,2.6,1
P0139,22,0.297,0.398,0.089,0.254,89.2,-4.2,2.36,2.53,1
P0140,23,0.337,0.429,0.087,0.26,86.7,2.4,3.58,6.39,1
P0141,29,0.346,0.416,0.094,0.19,89.8,-0.3,2.8,6.23,1
P0142,21,0.341,0.28,0.07,0.22,99.0,-11.0,2.9,5.44,1
P0143,23,0.284,0.59,0.105,0.265,87.4,-7.0,4.7,3.82,1
P0144,22,0.327,0.4,0.082,0.27,88.8,-1.8,3.1,2.21,0
P0145,29,0.334,0.37,0.049,0.312,89.7,20.5,4.18,3.87,1
P0146,22,0.284,0.356,0.109,0.199,91.7,7.7,2.76,2.78,0
P0147,26,0.309,0.436,0.11,0.137,87.0,4.8,3.36,3.08,1
P0148,22,0.346,0.428,0.051,0.242,88.9,3.7,4.84,3.1,1
P0149,24,0.361,0.384,0.083,0.251,96.1,-3.0,3.07,4.79,1
P0150,24,0.367,0.36,0.098,0.191,93.1,-1.9,3.88,4.14,1
P0151,25,0.29,0.543,0.082,0.326,89.8,-7.3,2.69,4.38,1
P0152,23,0.297,0.379,0.115,0.252,85.4,1.1,1.0,2.59,1
P0153,24,0.322,0.454,0.134,0.306,90.3,6.7,3.73,3.85,1
P0154,28,0.305,0.406,0.086,0.233,93.4,4.1,1.92,2.6,1
P0155,29,0.284,0.364,0.096,0.228,88.8,12.8,3.27,2.47,1
P0156,26,0.318,0.376,0.095,0.172,88.3,17.4,3.77,5.14,0
P0157,24,0.326,0.521,0.075,0.267,90.0,-8.2,3.95,5.46,0
P0158,23,0.361,0.305,0.102,0.253,93.6,3.2,2.4,4.1,0
P0159,24,0.325,0.412,0.069,0.12,91.4,7.5,1.55,4.65,1
P0160,26,0.284,0.337,0.075,0.17,85.5,-1.2,1.05,0.74,0
P0161,26,0.365,0.501,0.061,0.124,87.8,0.3,4.61,6.16,1
P0162,21,0.298,0.486,0.085,0.223,86.9,-1.2,5.63,3.6,0
P0163,22,0.359,0.425,0.122,0.169,85.3,3.4,3.13,3.94,0
P0164,30,0.323,0.461,0.059,0.287,86.9,2.7,3.3,3.65,1
P0165,25,0.303,0.313,0.051,0.212,87.3,-2.2,1.37,2.42,0
P0166,28,0.392,0.494,0.083,0.197,89.8,0.8,4.9,5.29,0
P0167,24,0.31,0.492,0.095,0.325,87.2,3.0,2.59,4.73,1
P0168,26,0.245,0.476,0.099,0.151,87.4,4.3,0.7,3.99,0
P0169,27,0.292,0.325,0.035,0.216,88.9,-0.8,1.26,2.61,0
P0170,26,0.302,0.519,0.119,0.237,91.2,-8.8,3.32,2.13,0
P0171,29,0.356,0.408,0.111,0.202,87.8,12.0,2.21,6.23,0
P0172,20,0.313,0.28,0.056,0.228,85.1,-0.7,2.36,3.28,0
P0173,25,0.301,0.489,0.08,0.257,86.7,2.2,4.36,2.06,1
P0174,23,0.297,0.463,0.113,0.189,90.1,1.6,2.82,2.53,1
P0175,29,0.276,0.311,0.128,0.199,92.0,2.2,2.61,2.43,1
P0176,21,0.319,0.573,0.091,0.188,86.5,-8.5,4.21,5.25,1
P0177,26,0.339,0.475,0.093,0.221,92.9,-1.4,5.03,4.22,1
P0178,27,0.341,0.48,0.1,0.267,94.2,-7.8,3.62,3.48,0
P0179,22,0.322,0.435,0.107,0.25,92.0,12.0,3.74,5.42,1
P0180,26,0.265,0.492,0.113,0.28,88.5,-9.4,2.38,3.86,0
P0181,28,0.305,0.28,0.095,0.266,86.1,2.2,2.69,2.34,0
P0182,29,0.337,0.399,0.038,0.277,87.2,15.5,4.17,4.05,1
P0183,23,0.334,0.41,0.088,0.177,87.2,-2.9,3.02,3.56,1
P0184,29,0.373,0.449,0.043,0.215,86.0,19.9,2.2,5.14,1
P0185,20,0.369,0.538,0.034,0.236,87.7,5.3,4.16,6.16,1
P0186,30,0.36,0.387,0.144,0.205,86.4,3.3,3.83,3.13,1
P0187,30,0.387,0.45,0.109,0.164,88.8,-2.4,4.54,4.69,1
P0188,22,0.356,0.345,0.124,0.292,90.6,14.8,4.09,5.85,0
P0189,23,0.334,0.386,0.077,0.246,84.1,1.8,4.27,4.05,0
P0190,22,0.377,0.481,0.124,0.258,87.2,-3.1,3.75,4.91,1
P0191,26,0.305,0.433,0.101,0.216,86.9,5.0,2.0,2.39,1
P0192,27,0.356,0.336,0.088,0.176,89.5,-5.4,3.51,4.65,0
P0193,25,0.26,0.355,0.09,0.206,92.1,-2.5,0.7,0.65,0
P0194,27,0.322,0.402,0.03,0.307,90.7,-5.5,3.12,1.79,0
P0195,20,0.359,0.344,0.103,0.247,89.9,-11.1,3.28,5.36,1
P0196,27,0.389,0.393,0.082,0.323,90.7,-4.2,4.88,3.15,0
P0197,23,0.256,0.338,0.08,0.211,86.1,5.5,2.58,1.54,0
P0198,27,0.282,0.341,0.091,0.239,89.7,-2.9,2.29,0.72,0
P0199,28,0.317,0.392,0.1,0.216,89.6,10.1,4.36,5.15,1
P0200,22,0.279,0.414,0.067,0.178,86.0,1.7,2.68,5.28,1
P0201,25,0.309,0.523,0.094,0.272,89.7,2.4,3.04,3.77,1
P0202,28,0.326,0.369,0.068,0.188,90.5,14.9,2.66,5.08,0
P0203,20,0.376,0.503,0.09,0.137,95.0,-0.5,3.8,6.18,1
P0204,21,0.294,0.28,0.099,0.116,88.1,1.8,2.23,5.03,1
P0205,29,0.346,0.428,0.106,0.348,89.8,1.9,3.64,4.11,1
P0206,25,0.271,0.289,0.043,0.331,88.3,-3.7,0.7,1.69,0
P0207,20,0.365,0.379,0.109,0.317,88.2,5.5,3.07,3.23,1
P0208,24,0.341,0.455,0.084,0.254,85.9,3.1,2.96,5.75,0
P0209,23,0.345,0.423,0.079,0.242,87.5,9.7,2.97,4.92,1
P0210,26,0.313,0.391,0.109,0.266,84.5,1.4,2.57,2.27,0
P0211,25,0.367,0.486,0.095,0.253,86.5,1.4,4.7,3.99,1
P0212,21,0.35,0.301,0.113,0.281,93.9,4.7,2.93,4.88,1
P0213,22,0.265,0.41,0.072,0.168,90.8,6.5,2.13,3.18,1
P0214,27,0.372,0.495,0.068,0.184,87.9,-10.6,5.73,4.8,1
P0215,21,0.397,0.368,0.088,0.201,91.4,8.9,2.95,5.19,1
P0216,20,0.344,0.4,0.065,0.143,85.7,-3.4,2.59,5.92,1
P0217,23,0.319,0.503,0.098,0.168,88.9,-2.7,3.03,3.65,1
P0218,29,0.335,0.365,0.11,0.303,95.2,9.5,2.29,4.29,1
P0219,23,0.405,0.51,0.068,0.303,85.3,8.8,5.04,5.73,1
P0220,27,0.316,0.424,0.081,0.233,90.3,4.4,3.35,6.01,1
P0221,25,0.275,0.39,0.122,0.149,88.1,-5.1,2.44,2.47,0
P0222,29,0.377,0.36,0.087,0.202,89.4,8.3,3.89,4.1,1
P0223,20,0.348,0.465,0.082,0.149,88.6,5.0,2.65,6.17,1
P0224,28,0.325,0.535,0.116,0.273,84.3,7.9,3.7,3.89,1
P0225,30,0.344,0.28,0.074,0.111,94.8,3.7,2.74,4.42,1
P0226,29,0.305,0.604,0.115,0.126,87.4,10.0,5.85,7.5,1
P0227,22,0.378,0.396,0.061,0.297,88.3,-0.4,3.37,4.68,1
P0228,29,0.342,0.413,0.037,0.227,90.7,12.9,3.9,3.62,1
P0229,23,0.307,0.363,0.08,0.199,90.9,-0.6,3.47,4.09,1
P0230,22,0.263,0.335,0.103,0.297,84.0,-4.3,1.39,1.58,0
P0231,30,0.275,0.465,0.136,0.18,86.6,-2.1,0.7,4.1,0
P0232,21,0.287,0.299,0.091,0.226,88.5,3.9,0.7,2.87,0
P0233,30,0.343,0.441,0.071,0.277,81.7,-2.0,3.16,1.3,0
P0234,22,0.329,0.365,0.088,0.273,89.3,19.7,2.2,5.28,1
P0235,25,0.306,0.413,0.082,0.226,88.9,-1.1,2.94,3.72,1
P0236,23,0.332,0.376,0.083,0.286,90.8,10.0,2.35,3.03,0
P0237,20,0.359,0.47,0.077,0.297,89.6,-5.7,4.52,3.27,1
P0238,22,0.328,0.513,0.081,0.294,89.5,-11.5,3.94,3.51,1
P0239,24,0.368,0.441,0.058,0.227,89.8,4.0,3.93,5.3,1
P0240,21,0.29,0.35,0.097,0.134,84.7,-6.6,1.49,3.84,0
P0241,27,0.319,0.414,0.099,0.254,84.9,5.8,2.71,2.8,1
P0242,21,0.355,0.325,0.071,0.196,85.2,-5.8,3.35,2.79,1
P0243,22,0.312,0.28,0.086,0.275,82.0,5.3,1.92,2.84,1
P0244,21,0.32,0.429,0.08,0.146,91.3,2.8,2.96,4.56,1
P0245,20,0.245,0.447,0.066,0.184,82.2,-8.1,2.43,0.81,0
P0246,21,0.342,0.356,0.056,0.173,89.6,7.3,3.59,4.07,1
P0247,26,0.343,0.42,0.077,0.155,83.9,1.2,2.97,4.71,0
P0248,26,0.303,0.417,0.077,0.142,91.3,14.3,3.82,4.0,1
P0249,25,0.308,0.361,0.118,0.214,89.1,5.7,2.45,3.56,0
P0250,29,0.33,0.356,0.094,0.206,89.1,6.4,3.7,4.69,1
P0251,29,0.36,0.418,0.124,0.158,92.8,-6.4,2.99,5.16,1
P0252,28,0.247,0.461,0.068,0.137,89.7,6.9,2.72,4.87,0
P0253,27,0.24,0.497,0.091,0.237,85.0,2.7,2.33,4.25,1
P0254,20,0.348,0.447,0.078,0.209,93.1,-0.8,2.8,5.38,0
P0255,30,0.379,0.472,0.1,0.211,88.1,9.4,5.02,5.71,1
P0256,21,0.327,0.322,0.08,0.241,93.8,3.8,4.18,3.4,1
P0257,20,0.311,0.325,0.109,0.195,86.8,8.0,1.72,4.33,1
P0258,25,0.319,0.467,0.05,0.171,88.2,6.0,3.15,4.61,1
P0259,24,0.325,0.335,0.094,0.188,91.0,6.4,2.91,4.17,0
P0260,21,0.329,0.374,0.101,0.277,91.4,8.9,2.88,4.36,1
P0261,25,0.381,0.44,0.111,0.268,92.6,1.4,4.88,4.55,1
P0262,23,0.271,0.48,0.111,0.153,91.6,-1.8,2.81,4.58,1
P0263,23,0.351,0.483,0.112,0.237,93.8,7.5,3.97,5.57,1
P0264,30,0.334,0.393,0.067,0.138,93.7,-0.8,3.54,3.41,1
P0265,24,0.343,0.453,0.086,0.218,92.0,5.3,4.26,3.92,1
P0266,24,0.249,0.562,0.103,0.123,90.5,9.0,3.76,3.72,1
P0267,30,0.355,0.446,0.064,0.211,90.5,-5.7,3.92,5.43,1
P0268,24,0.244,0.494,0.145,0.161,91.4,8.7,2.64,5.63,1
P0269,24,0.283,0.349,0.119,0.169,84.1,-6.4,0.7,3.8,1
P0270,27,0.297,0.343,0.103,0.222,86.9,2.6,1.11,4.77,1
P0271,24,0.308,0.522,0.066,0.165,85.0,0.6,2.58,4.53,1
P0272,28,0.328,0.457,0.064,0.262,87.8,-6.8,2.39,2.87,1
P0273,25,0.293,0.481,0.035,0.148,88.3,-3.6,2.95,4.04,1
P0274,21,0.349,0.301,0.092,0.201,92.1,-9.1,2.42,3.73,1
P0275,22,0.339,0.28,0.136,0.1,89.3,7.1,1.98,2.36,0
P0276,29,0.352,0.422,0.055,0.196,87.2,-5.7,5.57,2.85,0
P0277,26,0.336,0.391,0.117,0.266,86.7,-10.0,3.4,1.37,1
P0278,22,0.312,0.402,0.07,0.246,90.7,-2.9,1.56,2.68,1
P0279,22,0.369,0.38,0.139,0.219,88.9,2.3,5.77,5.46,0
P0280,30,0.316,0.494,0.095,0.127,86.4,-0.2,4.42,5.35,1
P0281,23,0.313,0.453,0.057,0.228,90.9,0.4,2.95,1.23,1
P0282,21,0.341,0.546,0.069,0.225,87.9,11.3,5.25,6.16,1
P0283,23,0.362,0.356,0.131,0.228,92.3,0.8,3.02,5.71,1
P0284,29,0.354,0.397,0.117,0.238,88.6,-6.6,4.13,4.99,1
P0285,20,0.314,0.411,0.092,0.176,89.0,-9.0,2.64,3.77,1
P0286,25,0.355,0.391,0.127,0.241,90.3,3.9,3.92,4.12,1
P0287,27,0.336,0.62,0.09,0.262,93.6,8.1,4.89,6.52,1
P0288,29,0.262,0.492,0.081,0.207,84.0,-3.4,2.95,1.36,0
P0289,22,0.325,0.457,0.089,0.2,84.2,0.9,3.19,3.61,0
P0290,22,0.318,0.382,0.037,0.148,87.8,-4.7,3.29,3.15,1
P0291,21,0.307,0.356,0.073,0.268,92.8,-5.4,1.25,3.05,1
P0292,26,0.308,0.28,0.087,0.215,89.0,-8.6,0.7,1.6,0
P0293,27,0.302,0.304,0.091,0.238,89.5,-1.8,1.1,3.3,0
P0294,21,0.306,0.524,0.06,0.217,88.7,-1.5,4.04,5.63,1
P0295,25,0.325,0.39,0.136,0.269,84.8,1.3,2.85,1.82,1
P0296,21,0.364,0.445,0.069,0.237,91.1,7.7,3.22,4.6,1
P0297,23,0.299,0.481,0.058,0.185,88.4,6.2,3.15,2.63,1
P0298,29,0.397,0.28,0.105,0.234,90.5,-2.9,2.29,3.94,1
P0299,26,0.29,0.444,0.077,0.275,86.9,-2.4,4.32,2.52,1
P0300,29,0.382,0.499,0.09,0.174,86.7,22.0,5.1,6.36,1
P0301,23,0.302,0.33,0.094,0.223,92.5,-8.1,1.99,2.82,0
P0302,24,0.322,0.377,0.091,0.243,87.7,0.2,1.55,2.04,1
P0303,28,0.308,0.309,0.035,0.21,90.9,7.8,1.2,5.53,1
P0304,29,0.388,0.281,0.097,0.131,91.7,-5.3,2.13,4.98,1
P0305,26,0.312,0.42,0.076,0.206,84.7,-4.4,4.53,1.12,0
P0306,25,0.338,0.393,0.094,0.203,92.4,4.5,4.1,6.34,0
P0307,22,0.279,0.491,0.122,0.126,89.2,1.5,3.29,4.48,1
P0308,27,0.314,0.49,0.085,0.215,82.1,5.7,2.14,4.4,0
P0309,23,0.287,0.408,0.103,0.276,88.0,-1.9,3.28,4.11,0
P0310,26,0.323,0.499,0.121,0.219,86.9,7.8,2.91,5.35,0
P0311,29,0.254,0.466,0.124,0.165,94.1,8.8,2.13,5.8,1
P0312,28,0.262,0.54,0.124,0.276,92.5,8.0,2.95,4.65,0
P0313,26,0.375,0.522,0.064,0.216,94.8,16.4,4.64,5.4,1
P0314,25,0.317,0.378,0.097,0.231,92.7,4.2,3.42,4.74,0
P0315,28,0.291,0.558,0.111,0.246,92.4,8.9,3.37,5.14,1
P0316,26,0.36,0.483,0.03,0.158,86.7,-8.5,5.31,4.08,1
P0317,30,0.299,0.369,0.075,0.163,86.4,-10.5,2.78,0.08,0
P0318,22,0.35,0.295,0.04,0.233,81.1,5.5,2.87,2.42,0
P0319,29,0.318,0.446,0.144,0.228,89.4,1.3,3.74,5.12,1
P0320,23,0.286,0.436,0.102,0.217,88.8,9.1,2.28,3.91,0
P0321,24,0.326,0.34,0.044,0.273,88.1,-0.1,1.71,4.74,1
P0322,22,0.291,0.442,0.091,0.224,86.8,5.3,1.44,3.01,1
P0323,20,0.278,0.583,0.107,0.235,93.8,6.9,3.67,4.05,0
P0324,21,0.24,0.486,0.091,0.154,90.6,-0.8,2.14,2.3,0
P0325,28,0.402,0.292,0.082,0.233,87.3,14.1,3.17,5.17,0
P0326,28,0.263,0.404,0.082,0.249,90.8,8.0,2.12,3.39,0
P0327,20,0.288,0.399,0.105,0.185,89.6,-1.6,2.09,2.6,1
P0328,23,0.252,0.388,0.069,0.301,87.6,7.1,2.25,0.47,0
P0329,21,0.258,0.397,0.096,0.163,90.4,-3.5,2.05,2.86,0
P0330,25,0.356,0.397,0.146,0.265,89.8,11.5,3.0,7.04,1
P0331,26,0.381,0.479,0.05,0.231,86.5,4.4,4.41,5.07,1
P0332,29,0.284,0.369,0.092,0.172,88.6,-0.6,2.68,2.87,0
P0333,23,0.321,0.409,0.14,0.256,88.9,-4.2,2.06,4.9,1
P0334,24,0.342,0.362,0.089,0.252,93.8,-2.6,3.58,5.81,1
P0335,29,0.335,0.339,0.057,0.244,88.7,-0.2,2.3,3.68,1
P0336,29,0.341,0.327,0.099,0.28,92.1,-0.0,2.8,2.74,1
P0337,29,0.366,0.389,0.093,0.233,90.3,8.4,4.47,4.3,1
P0338,21,0.266,0.423,0.047,0.239,93.6,-6.7,1.19,2.73,1
P0339,20,0.344,0.407,0.063,0.244,89.3,-1.7,3.48,5.23,1
P0340,26,0.368,0.564,0.053,0.251,97.5,-9.8,7.36,5.33,1
P0341,27,0.359,0.465,0.077,0.271,85.0,-4.4,3.48,3.18,1
P0342,28,0.327,0.364,0.143,0.243,88.3,3.7,3.78,3.74,0
P0343,22,0.342,0.58,0.125,0.187,90.4,5.1,4.1,3.78,1
